2026-01-30 01:06:10,696 | INFO | advanced_flashcards | [READY] Advanced Flashcards WebApp started successfully. Open: http://127.0.0.1:8009 • http://192.168.0.129:8009
2026-01-30 01:06:10,733 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8009
 * Running on http://192.168.0.129:8009
2026-01-30 01:06:10,733 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-01-30 22:55:48,614 | INFO | advanced_flashcards | [READY] Advanced Flashcards WebApp started successfully. Open: http://127.0.0.1:8010 • http://192.168.0.129:8010
2026-01-30 22:55:48,635 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8010
 * Running on http://192.168.0.129:8010
2026-01-30 22:55:48,635 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-01-31 00:19:48,512 | INFO | advanced_flashcards | [READY] Advanced Flashcards WebApp started successfully. Open: http://127.0.0.1:8010 • http://192.168.0.129:8010
2026-01-31 00:19:48,527 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8010
 * Running on http://192.168.0.129:8010
2026-01-31 00:19:48,527 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-01-31 00:19:48,682 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET / ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:19:48,683 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:19:48] "GET / HTTP/1.1" 200 -
2026-01-31 00:19:48,762 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /styles.css ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:19:48,762 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:19:48] "GET /styles.css HTTP/1.1" 200 -
2026-01-31 00:19:50,527 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /app.js ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:19:50,527 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:19:50] "GET /app.js HTTP/1.1" 200 -
2026-01-31 00:19:50,697 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:19:50,697 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:19:50] "GET /api/me HTTP/1.1" 200 -
2026-01-31 00:19:50,716 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/ai/status ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:19:50,716 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:19:50] "GET /api/ai/status HTTP/1.1" 200 -
2026-01-31 00:19:50,716 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:19:50,732 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:19:50] "GET /api/me HTTP/1.1" 200 -
2026-01-31 00:19:50,732 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:19:50,732 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:19:50] "GET /api/settings?scope=all HTTP/1.1" 200 -
2026-01-31 00:19:50,757 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:19:50,759 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:19:50] "GET /api/me HTTP/1.1" 200 -
2026-01-31 00:19:50,760 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:19:50,760 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:19:50] "GET /api/settings?scope=all HTTP/1.1" 200 -
2026-01-31 00:19:50,777 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/decks ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:19:50,777 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:19:50,793 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:19:50] "GET /api/me HTTP/1.1" 200 -
